學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,,,,,,,,
學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),28,4,24,57.14
106,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),22,5,17,12.87
106,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),16,4,12,12.70
106,公立,一般大學,0001,國立政治大學,03212051,新聞學系,博士班,2,1,1,28.57
106,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),5,0,5,9.43
106,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),62,12,50,14.16
106,公立,一般大學,0001,國立政治大學,03299056,傳播學院博士班,博士班,13,6,7,54.17
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),14,5,9,3.14
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),14,4,10,9.79
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),10,4,6,5.05
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),8,6,2,10
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,博士班,1,1,0,11.11
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),11,4,7,4.53
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),22,11,11,24.18
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,博士班,3,2,1,11.54
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),16,8,8,3.86
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,碩士班(日間),1,0,1,1.32
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,博士班,2,0,2,16.67
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),9,5,4,4.50
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,碩士班(日間),8,4,4,11.43
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,博士班,3,0,3,16.67
106,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),31,11,20,11.36
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),77,33,44,17.26
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,9,1,8,18.75
106,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),65,38,27,43.92
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),12,4,8,5.71
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),4,1,3,3.13
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,博士班,2,2,0,10.53
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),19,15,4,3.66
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,碩士班(日間),3,3,0,4.29
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,博士班,2,2,0,10.53
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),31,11,20,9.09
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),10,5,5,8.85
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),19,2,17,8.48
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),11,4,7,7.53
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,博士班,1,0,1,3.33
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),15,4,11,2.10
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,碩士班(日間),19,12,7,7.57
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,博士班,4,3,1,8
106,公立,一般大學,0001,國立政治大學,04212074,法律科際整合研究所,碩士班(日間),7,6,1,6.80
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),2,2,0,1.08
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,博士班,1,1,0,20
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),11,7,4,5.16
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),7,4,3,11.11
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),12,8,4,3.59
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),3,2,1,3.57
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),15,10,5,7.28
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士班(日間),1,0,1,0.92
106,公立,一般大學,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,8,7,1,72.73
106,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),8,4,4,15.09
106,公立,一般大學,0001,國立政治大學,09121083,神經科學研究所,碩士班(日間),1,0,1,10
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),4,1,3,6.78
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,博士班,3,1,2,42.86
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),20,4,16,5.78
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,碩士班(日間),4,1,3,3.54
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,博士班,9,3,6,13.64
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),28,6,22,15.14
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),23,2,21,6.74
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),4,0,4,11.43
106,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士班(日間),2,1,1,3.17
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),10,2,8,6.41
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),1,0,1,5
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,學士班(日間),15,12,3,7.58
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,碩士班(日間),1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),19,8,11,5.56
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系藝術教育與創作碩士班,碩士班(日間),4,3,1,5.19
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),7,3,4,4.93
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,碩士班(日間),3,0,3,4.29
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),9,4,5,18.37
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,5,4,1,20.83
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),5,2,3,12.82
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,博士班,3,1,2,25
106,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,碩士班(日間),1,1,0,5.88
106,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),4,1,3,66.67
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),12,4,8,3.47
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),13,1,12,6.02
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),10,1,9,17.24
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),9,3,6,19.15
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,5,2,3,33.33
106,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,碩士班(日間),1,0,1,1.47
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),18,5,13,8.82
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),27,9,18,34.62
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,7,4,3,11.67
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),9,4,5,6.38
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士班(日間),2,1,1,3.51
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),9,5,4,19.57
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,6,2,4,37.50
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),23,14,9,5
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,碩士班(日間),13,4,9,24.07
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,5,4,1,23.81
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),9,4,5,5.08
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),5,3,2,5
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),12,7,5,15.79
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,博士班,2,2,0,14.29
106,公立,一般大學,0002,國立清華大學,03199015,學習科學研究所,碩士班(日間),1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),3,2,1,1.33
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),9,1,8,18
106,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),47,27,20,81.03
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),10,9,1,15.63
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,博士班,9,3,6,25.71
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),3,3,0,5.26
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,9,6,3,69.23
106,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),7,4,3,3.38
106,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),9,5,4,8.33
106,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),4,4,0,2.92
106,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),6,4,2,3.11
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),4,2,2,6.78
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,博士班,5,2,3,9.62
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,碩士班(日間),1,0,1,2.50
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,博士班,7,4,3,24.14
106,公立,一般大學,0002,國立清華大學,05121029,生技產業博士學位學程,博士班,1,1,0,10
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),4,2,2,7.55
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,13,10,3,20.31
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,碩士班(日間),3,1,2,7.89
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,博士班,2,1,1,5.71
106,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),6,4,2,5.50
106,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,碩士班(日間),1,1,0,4
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),10,6,4,5.35
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,碩士班(日間),2,1,1,6.06
106,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),20,15,5,7.19
106,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),8,5,3,4.49
106,公立,一般大學,0002,國立清華大學,05311037,化學系,博士班,73,62,11,51.41
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),21,19,2,7.24
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),6,5,1,4.11
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,11,8,3,18.03
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,碩士班(日間),3,1,2,30
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,博士班,1,1,0,7.69
106,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),15,10,5,5.66
106,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),8,7,1,11.94
106,公立,一般大學,0002,國立清華大學,05411043,數學系,博士班,2,2,0,9.09
106,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,碩士班(日間),2,2,0,3.85
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),26,21,5,4.49
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),17,13,4,4.83
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,5,4,1,6.94
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),30,19,11,27.52
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,5,4,1,27.78
106,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,12,11,1,100
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),13,9,4,5.56
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),8,5,3,5.23
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,18,13,5,17.14
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),8,6,2,1.97
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),10,9,1,3.95
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,20,16,4,13.07
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),8,7,1,1.98
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),4,4,0,2.33
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,博士班,45,35,10,45.92
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),6,6,0,1.36
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),10,7,3,2.75
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,8,8,0,10
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),1,1,0,0.52
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,博士班,7,6,1,13.73
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),4,2,2,3.39
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,博士班,3,3,0,10.71
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),7,5,2,5.07
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,博士班,6,5,1,30
106,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),5,4,1,4.39
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),24,23,1,5.25
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),12,11,1,4.27
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,10,9,1,10.99
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),26,12,14,9.52
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),17,12,5,8.85
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,博士班,7,4,3,14
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),13,8,5,6.88
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,碩士班(日間),5,4,1,4.31
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,9,6,3,16.67
106,公立,一般大學,0002,國立清華大學,07193065,生物醫學工程研究所,碩士班(日間),1,1,0,3.57
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,碩士班(日間),7,4,3,12.28
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,博士班,17,10,7,37.78
106,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),1,0,1,1.30
106,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),1,0,1,0.79
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),7,3,4,8.33
106,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,10,7,3,32.26
106,公立,一般大學,0002,國立清華大學,99999075,清華學院學士班,學士班(日間),21,9,12,19.63
106,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,碩士班(日間),17,5,12,29.82
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,碩士班(日間),7,3,4,20
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,博士班,2,1,1,28.57
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),9,2,7,4.76
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,碩士班(日間),12,1,11,31.58
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,碩士班(日間),5,2,3,14.71
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,博士班,1,0,1,14.29
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),23,10,13,8.71
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,碩士班(日間),16,9,7,19.75
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,博士班,7,5,2,14.29
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),22,9,13,13.92
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,碩士班(日間),10,5,5,23.81
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,博士班,7,6,1,50
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),20,11,9,10.75
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,碩士班(日間),13,10,3,29.55
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,博士班,1,0,1,3.13
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),54,10,44,9.93
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,碩士班(日間),5,0,5,8.93
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),11,1,10,4.14
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,碩士班(日間),4,2,2,9.76
106,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,碩士班(日間),9,5,4,20.93
106,公立,一般大學,0003,國立臺灣大學,02321005,臺灣文學研究所,碩士班(日間),4,1,3,10.53
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),93,33,60,27.68
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,碩士班(日間),31,5,26,37.35
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,博士班,10,5,5,19.23
106,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,碩士班(日間),4,3,1,11.11
106,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,博士班,4,3,1,28.57
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),23,8,15,3.90
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,碩士班(日間),5,2,3,4.03
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),58,30,28,7.71
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,碩士班(日間),22,14,8,15.28
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,博士班,11,8,3,24.44
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),28,9,19,9.66
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,碩士班(日間),13,3,10,10.57
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,博士班,2,1,1,4.88
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),16,11,5,7.84
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,碩士班(日間),7,4,3,14
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,博士班,2,1,1,15.38
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),15,9,6,9.15
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,碩士班(日間),10,7,3,15.63
